Pack	time	censored	motherage	pups3mo	ads3mo	attempt	censor	maxtemp	mintemp	meantemp	rainfall	days	IBI4	monthly	rounded
Lendile	332.5	no	46	9	11	5	1	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	13
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	1
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	2
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	3
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	4
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	5
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	6
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	7
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	8
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	9
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	10
Pyramid	299.5	no	37	11	5	1	0	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	11
Pyramid	299.5	no	37	11	5	1	1	29.068	11.7	19.07	1.66	1236	371.5	12.38333333	12
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	1
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	2
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	3
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	4
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	5
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	6
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	7
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	8
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	9
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	10
Mugur	317	no	NA	NA	NA	2	0	27.106	12.52	18.97	2.59	1359	389	12.96666667	11
Mugur	317	no	NA	NA	NA	2	1	27.106	12.52	18.97	2.59	1359	389	12.96666667	12
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	1
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	2
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	3
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	4
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	5
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	6
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	7
Tenais	214.5	no	40	7	7	2	0	27.251	11.48	18.98	1.68	1393	286.5	9.55	8
Tenais	214.5	no	40	7	7	2	1	27.251	11.48	18.98	1.68	1393	286.5	9.55	9
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	1
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	2
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	3
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	4
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	5
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	6
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	7
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	8
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	9
Sosian	282.5	no	68	6	6	4	0	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	10
Sosian	282.5	no	68	6	6	4	1	28.61	10.65	18.91	0.55	1434	354.5	11.81666667	11
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	1
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	2
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	3
